Year,Type,Lägenhet,Villa utan elvärme,Villa med elvärme,Större hushåll,Näringsverksamhet,Småindustri
1996,Oviktat,40.8,35.8,18.5,21.6,0,10.0
1997,Oviktat,41.1,36.2,21.6,22.5,15.4,16.5
1998,Oviktat,42.3,37.1,20.7,21.7,15.3,14.8
1999,Oviktat,42.3,37.2,20.6,21.8,15.2,15.0
2000,Oviktat,42.7,37.3,20.8,21.9,15.3,15.2
2001,Oviktat,43.1,37.5,20.8,22.2,15.3,15.0
2002,Oviktat,43.2,37.8,21.0,22.2,15.4,15.3
2003,Oviktat,44.0,38.4,21.3,22.9,16.0,15.6
2004,Oviktat,46.2,40.5,22.4,24.7,16.7,16.4
2005,Oviktat,46.8,40.8,22.7,25.2,17.1,16.9
2006,Oviktat,46.9,40.8,22.7,25.0,17.1,16.8
2007,Oviktat,47.4,41.1,22.9,25.2,17.2,16.9
2008,Oviktat,48.9,42.4,23.4,25.8,17.6,17.6
2009,Oviktat,52.4,45.6,24.7,27.4,18.6,18.5
2010,Oviktat,56.2,48.9,26.2,29.0,19.7,19.7
2011,Oviktat,59.1,51.3,27.6,30.5,20.7,20.8
2012,Oviktat,61.6,54.1,28.6,31.7,0,0
2013,Oviktat,64.1,56.4,29.5,32.7,0,0
2014,Oviktat,66.7,58.2,30.0,33.2,0,0
2015,Oviktat,68.0,59.4,30.5,33.7,0,0
2016,Oviktat,70.8,61.4,31.3,34.8,0,0
2017,Oviktat,73.8,64.2,32.5,36.0,0,0
2018,Oviktat,76.3,67.1,33.7,37.4,0,0
2019,Oviktat,78.8,68.9,34.7,38.6,0,0
2020,Oviktat,80.4,69.7,35.1,39.1,0,0
2021,Oviktat,81.4,69.8,35.1,39.1,0,0
2022,Oviktat,84.3,72.9,36.7,40.8,0,0
2023,Oviktat,94.0,81.2,41.9,46.3,0,0
